hourly_threshold_mm,product,selection_source,selected_models,holdout_opened_after_selection
0.1,cadence_aware_episode,development_2023_2025_only,"CMA_GRAPES_GLOBAL,ICON_SEAMLESS,UKMO_GLOBAL_10KM",True
0.1,complete_3h_rate_equivalent,development_2023_2025_only,"ICON_SEAMLESS,METEOFRANCE_ARPEGE_WORLD,GFS_GLOBAL",True
0.1,complete_3h_same_numeric,development_2023_2025_only,"ICON_SEAMLESS,METEOFRANCE_ARPEGE_WORLD,GFS_GLOBAL",True
0.1,episode_pm1h,development_2023_2025_only,"ICON_SEAMLESS,UKMO_GLOBAL_10KM,GFS_GLOBAL",True
0.1,episode_pm2h,development_2023_2025_only,"ICON_SEAMLESS,UKMO_GLOBAL_10KM,METEOFRANCE_ARPEGE_WORLD",True
0.1,strict_hourly,development_2023_2025_only,"ICON_SEAMLESS,METEOFRANCE_ARPEGE_WORLD,GFS_GLOBAL",True
1.0,cadence_aware_episode,development_2023_2025_only,"CMA_GRAPES_GLOBAL,ICON_SEAMLESS,GFS_GLOBAL",True
1.0,complete_3h_rate_equivalent,development_2023_2025_only,"GFS_GLOBAL,METEOFRANCE_ARPEGE_WORLD,GEM_GLOBAL",True
1.0,complete_3h_same_numeric,development_2023_2025_only,"ICON_SEAMLESS,METEOFRANCE_ARPEGE_WORLD,GFS_GLOBAL",True
1.0,episode_pm1h,development_2023_2025_only,"ICON_SEAMLESS,GFS_GLOBAL,UKMO_GLOBAL_10KM",True
1.0,episode_pm2h,development_2023_2025_only,"ICON_SEAMLESS,GFS_GLOBAL,UKMO_GLOBAL_10KM",True
1.0,strict_hourly,development_2023_2025_only,"GFS_GLOBAL,METEOFRANCE_ARPEGE_WORLD,ICON_SEAMLESS",True
1.5,cadence_aware_episode,development_2023_2025_only,"GFS_GLOBAL,CMA_GRAPES_GLOBAL,METEOFRANCE_ARPEGE_WORLD",True
1.5,complete_3h_rate_equivalent,development_2023_2025_only,"METEOFRANCE_ARPEGE_WORLD,GFS_GLOBAL,GEM_GLOBAL",True
1.5,complete_3h_same_numeric,development_2023_2025_only,"METEOFRANCE_ARPEGE_WORLD,GFS_GLOBAL,ICON_SEAMLESS",True
1.5,episode_pm1h,development_2023_2025_only,"GFS_GLOBAL,METEOFRANCE_ARPEGE_WORLD,UKMO_GLOBAL_10KM",True
1.5,episode_pm2h,development_2023_2025_only,"GFS_GLOBAL,METEOFRANCE_ARPEGE_WORLD,UKMO_GLOBAL_10KM",True
1.5,strict_hourly,development_2023_2025_only,"METEOFRANCE_ARPEGE_WORLD,GFS_GLOBAL,CMA_GRAPES_GLOBAL",True
5.0,cadence_aware_episode,development_2023_2025_only,"UKMO_GLOBAL_10KM,GEM_GLOBAL,METEOFRANCE_ARPEGE_WORLD",True
5.0,complete_3h_rate_equivalent,development_2023_2025_only,"GEM_GLOBAL,UKMO_GLOBAL_10KM,ECMWF_HRES",True
5.0,complete_3h_same_numeric,development_2023_2025_only,"METEOFRANCE_ARPEGE_WORLD,GFS_GLOBAL,GEM_GLOBAL",True
5.0,episode_pm1h,development_2023_2025_only,"UKMO_GLOBAL_10KM,METEOFRANCE_ARPEGE_WORLD,GEM_GLOBAL",True
5.0,episode_pm2h,development_2023_2025_only,"UKMO_GLOBAL_10KM,GEM_GLOBAL,METEOFRANCE_ARPEGE_WORLD",True
5.0,strict_hourly,development_2023_2025_only,"UKMO_GLOBAL_10KM,GEM_GLOBAL,METEOFRANCE_ARPEGE_WORLD",True
10.0,cadence_aware_episode,development_2023_2025_only,"GEM_GLOBAL,UKMO_GLOBAL_10KM,CMA_GRAPES_GLOBAL",True
10.0,complete_3h_rate_equivalent,development_2023_2025_only,"GEM_GLOBAL,ECMWF_HRES,GFS_GLOBAL",True
10.0,complete_3h_same_numeric,development_2023_2025_only,"METEOFRANCE_ARPEGE_WORLD,GEM_GLOBAL,UKMO_GLOBAL_10KM",True
10.0,episode_pm1h,development_2023_2025_only,"UKMO_GLOBAL_10KM,CMA_GRAPES_GLOBAL,ECMWF_HRES",True
10.0,episode_pm2h,development_2023_2025_only,"GEM_GLOBAL,UKMO_GLOBAL_10KM,CMA_GRAPES_GLOBAL",True
10.0,strict_hourly,development_2023_2025_only,"GEM_GLOBAL,ECMWF_HRES,ICON_SEAMLESS",True
20.0,cadence_aware_episode,development_2023_2025_only,"GEM_GLOBAL,CMA_GRAPES_GLOBAL,ECMWF_HRES",True
20.0,complete_3h_rate_equivalent,development_2023_2025_only,"CMA_GRAPES_GLOBAL,ECMWF_HRES,GFS_GLOBAL",True
20.0,complete_3h_same_numeric,development_2023_2025_only,"GEM_GLOBAL,ECMWF_HRES,ICON_SEAMLESS",True
20.0,episode_pm1h,development_2023_2025_only,"CMA_GRAPES_GLOBAL,ECMWF_HRES,GEM_GLOBAL",True
20.0,episode_pm2h,development_2023_2025_only,"GEM_GLOBAL,CMA_GRAPES_GLOBAL,ECMWF_HRES",True
20.0,strict_hourly,development_2023_2025_only,"GEM_GLOBAL,CMA_GRAPES_GLOBAL,ECMWF_HRES",True
