split,hourly_threshold_mm,product,rank,model,CSI,HSS,POD,FAR,frequency_bias,observed_events
development_2023_2025,0.1,cadence_aware_episode,1,CMA_GRAPES_GLOBAL,0.1399,,0.1937,0.6651,0.57848,1115
development_2023_2025,0.1,cadence_aware_episode,2,ICON_SEAMLESS,0.1326,,0.2413,0.7724,1.06009,1115
development_2023_2025,0.1,cadence_aware_episode,3,UKMO_GLOBAL_10KM,0.1193,,0.2601,0.8194,1.44036,1115
development_2023_2025,0.1,cadence_aware_episode,4,GFS_GLOBAL,0.1066,,0.2027,0.8164,1.10404,1115
development_2023_2025,0.1,cadence_aware_episode,5,GEM_GLOBAL,0.106,,0.1453,0.7183,0.5157,1115
development_2023_2025,0.1,cadence_aware_episode,6,METEOFRANCE_ARPEGE_WORLD,0.1013,,0.1668,0.7952,0.81435,1115
development_2023_2025,0.1,cadence_aware_episode,7,JMA_GSM,0.0606,,0.07,0.688,0.22422,1115
development_2023_2025,0.1,cadence_aware_episode,8,ECMWF_HRES,0.006,,0.0063,0.8679,0.04753,1115
development_2023_2025,0.1,complete_3h_rate_equivalent,1,ICON_SEAMLESS,0.1916,0.2226,0.456,0.7516,1.83571,840
development_2023_2025,0.1,complete_3h_rate_equivalent,2,METEOFRANCE_ARPEGE_WORLD,0.1772,0.1943,0.4607,0.7764,2.06071,840
development_2023_2025,0.1,complete_3h_rate_equivalent,3,GFS_GLOBAL,0.155,0.1495,0.4681,0.8118,2.48736,831
development_2023_2025,0.1,complete_3h_rate_equivalent,4,CMA_GRAPES_GLOBAL,0.1546,0.1662,0.3524,0.7839,1.63095,840
development_2023_2025,0.1,complete_3h_rate_equivalent,5,UKMO_GLOBAL_10KM,0.1389,0.1319,0.3548,0.8141,1.90833,840
development_2023_2025,0.1,complete_3h_rate_equivalent,6,GEM_GLOBAL,0.1377,0.1354,0.325,0.8071,1.68452,840
development_2023_2025,0.1,complete_3h_rate_equivalent,7,JMA_GSM,0.1221,0.1067,0.2952,0.8277,1.7131,840
development_2023_2025,0.1,complete_3h_rate_equivalent,8,ECMWF_HRES,0.0275,0.0213,0.0321,0.8402,0.20119,840
development_2023_2025,0.1,complete_3h_same_numeric,1,ICON_SEAMLESS,0.2449,0.2399,0.5014,0.6762,1.54859,1420
development_2023_2025,0.1,complete_3h_same_numeric,2,METEOFRANCE_ARPEGE_WORLD,0.2194,0.2064,0.4296,0.6904,1.38732,1420
development_2023_2025,0.1,complete_3h_same_numeric,3,GFS_GLOBAL,0.209,0.1646,0.4982,0.7353,1.88202,1407
development_2023_2025,0.1,complete_3h_same_numeric,4,CMA_GRAPES_GLOBAL,0.1882,0.1835,0.3113,0.6774,0.96479,1420
development_2023_2025,0.1,complete_3h_same_numeric,5,UKMO_GLOBAL_10KM,0.1837,0.1277,0.419,0.7535,1.7,1420
development_2023_2025,0.1,complete_3h_same_numeric,6,GEM_GLOBAL,0.1657,0.1418,0.2838,0.7152,0.99648,1420
development_2023_2025,0.1,complete_3h_same_numeric,7,JMA_GSM,0.1635,0.1365,0.2831,0.7208,1.01408,1420
development_2023_2025,0.1,complete_3h_same_numeric,8,ECMWF_HRES,0.0219,0.0077,0.0239,0.7988,0.11901,1420
development_2023_2025,0.1,episode_pm1h,1,ICON_SEAMLESS,0.1326,,0.2413,0.7724,1.06009,1115
development_2023_2025,0.1,episode_pm1h,2,UKMO_GLOBAL_10KM,0.1193,,0.2601,0.8194,1.44036,1115
development_2023_2025,0.1,episode_pm1h,3,GFS_GLOBAL,0.1066,,0.2027,0.8164,1.10404,1115
development_2023_2025,0.1,episode_pm1h,4,METEOFRANCE_ARPEGE_WORLD,0.1013,,0.1668,0.7952,0.81435,1115
development_2023_2025,0.1,episode_pm1h,5,CMA_GRAPES_GLOBAL,0.0811,,0.1184,0.7953,0.57848,1115
development_2023_2025,0.1,episode_pm1h,6,GEM_GLOBAL,0.0703,,0.0996,0.807,0.5157,1115
development_2023_2025,0.1,episode_pm1h,7,JMA_GSM,0.0372,,0.0439,0.804,0.22422,1115
development_2023_2025,0.1,episode_pm1h,8,ECMWF_HRES,0.006,,0.0063,0.8679,0.04753,1115
development_2023_2025,0.1,episode_pm2h,1,ICON_SEAMLESS,0.2026,,0.3471,0.6726,1.06009,1115
development_2023_2025,0.1,episode_pm2h,2,UKMO_GLOBAL_10KM,0.1744,,0.3623,0.7484,1.44036,1115
development_2023_2025,0.1,episode_pm2h,3,METEOFRANCE_ARPEGE_WORLD,0.1647,,0.2565,0.685,0.81435,1115
development_2023_2025,0.1,episode_pm2h,4,GFS_GLOBAL,0.1591,,0.2888,0.7384,1.10404,1115
development_2023_2025,0.1,episode_pm2h,5,CMA_GRAPES_GLOBAL,0.1399,,0.1937,0.6651,0.57848,1115
development_2023_2025,0.1,episode_pm2h,6,GEM_GLOBAL,0.106,,0.1453,0.7183,0.5157,1115
development_2023_2025,0.1,episode_pm2h,7,JMA_GSM,0.0606,,0.07,0.688,0.22422,1115
development_2023_2025,0.1,episode_pm2h,8,ECMWF_HRES,0.0104,,0.0108,0.7736,0.04753,1115
development_2023_2025,0.1,strict_hourly,1,ICON_SEAMLESS,0.1516,0.1677,0.4029,0.8045,2.06108,2194
development_2023_2025,0.1,strict_hourly,2,METEOFRANCE_ARPEGE_WORLD,0.1442,0.1522,0.4075,0.8175,2.23291,2194
development_2023_2025,0.1,strict_hourly,3,GFS_GLOBAL,0.1352,0.13,0.441,0.8368,2.70201,2188
development_2023_2025,0.1,strict_hourly,4,CMA_GRAPES_GLOBAL,0.1319,0.137,0.3359,0.8215,1.88195,2194
development_2023_2025,0.1,strict_hourly,5,GEM_GLOBAL,0.1147,0.1051,0.3026,0.8441,1.94075,2194
development_2023_2025,0.1,strict_hourly,6,JMA_GSM,0.108,0.0923,0.2894,0.853,1.96946,2194
development_2023_2025,0.1,strict_hourly,7,UKMO_GLOBAL_10KM,0.0941,0.0637,0.2675,0.8732,2.1103,2194
development_2023_2025,0.1,strict_hourly,8,ECMWF_HRES,0.0246,0.0165,0.0296,0.8723,0.232,2194
development_2023_2025,1.0,cadence_aware_episode,1,CMA_GRAPES_GLOBAL,0.1011,,0.1568,0.7784,0.70746,523
development_2023_2025,1.0,cadence_aware_episode,2,ICON_SEAMLESS,0.0869,,0.153,0.8326,0.91396,523
development_2023_2025,1.0,cadence_aware_episode,3,GFS_GLOBAL,0.0861,,0.1916,0.8649,1.41762,522
development_2023_2025,1.0,cadence_aware_episode,4,GEM_GLOBAL,0.0859,,0.1166,0.754,0.47419,523
development_2023_2025,1.0,cadence_aware_episode,5,UKMO_GLOBAL_10KM,0.0827,,0.1797,0.8672,1.35373,523
development_2023_2025,1.0,cadence_aware_episode,6,METEOFRANCE_ARPEGE_WORLD,0.0788,,0.1453,0.8533,0.99044,523
development_2023_2025,1.0,cadence_aware_episode,7,JMA_GSM,0.0322,,0.0363,0.7791,0.16444,523
development_2023_2025,1.0,cadence_aware_episode,8,ECMWF_HRES,0.0055,,0.0057,0.8846,0.04971,523
development_2023_2025,1.0,complete_3h_rate_equivalent,1,GFS_GLOBAL,0.1042,0.1387,0.2286,0.8392,1.42143,420
development_2023_2025,1.0,complete_3h_rate_equivalent,2,METEOFRANCE_ARPEGE_WORLD,0.1011,0.1344,0.2141,0.8392,1.33176,425
development_2023_2025,1.0,complete_3h_rate_equivalent,3,GEM_GLOBAL,0.0824,0.11,0.1459,0.8406,0.91529,425
development_2023_2025,1.0,complete_3h_rate_equivalent,4,CMA_GRAPES_GLOBAL,0.0727,0.0855,0.1506,0.8767,1.22118,425
development_2023_2025,1.0,complete_3h_rate_equivalent,5,ICON_SEAMLESS,0.0723,0.0963,0.1176,0.8423,0.74588,425
development_2023_2025,1.0,complete_3h_rate_equivalent,6,UKMO_GLOBAL_10KM,0.0658,0.0753,0.1294,0.882,1.09647,425
development_2023_2025,1.0,complete_3h_rate_equivalent,7,JMA_GSM,0.0538,0.0705,0.0776,0.8507,0.52,425
development_2023_2025,1.0,complete_3h_rate_equivalent,8,ECMWF_HRES,0.0088,0.0106,0.0094,0.875,0.07529,425
development_2023_2025,1.0,complete_3h_same_numeric,1,ICON_SEAMLESS,0.1461,0.1812,0.3113,0.784,1.44172,652
development_2023_2025,1.0,complete_3h_same_numeric,2,METEOFRANCE_ARPEGE_WORLD,0.1457,0.1738,0.3512,0.8007,1.76227,652
development_2023_2025,1.0,complete_3h_same_numeric,3,GFS_GLOBAL,0.1391,0.1555,0.396,0.8234,2.24224,644
development_2023_2025,1.0,complete_3h_same_numeric,4,GEM_GLOBAL,0.1204,0.144,0.2347,0.8018,1.18405,652
development_2023_2025,1.0,complete_3h_same_numeric,5,UKMO_GLOBAL_10KM,0.1123,0.1223,0.2485,0.83,1.46166,652
development_2023_2025,1.0,complete_3h_same_numeric,6,CMA_GRAPES_GLOBAL,0.1095,0.1168,0.2454,0.8349,1.4862,652
development_2023_2025,1.0,complete_3h_same_numeric,7,JMA_GSM,0.0951,0.1023,0.181,0.8331,1.08436,652
