split,model,native_cadence_hours,product,hourly_threshold_mm,metric_threshold,threshold_unit,verification_unit,sample_size,observed_events,forecast_events,hits,misses,false_alarms,correct_negatives,POD,FAR,CSI,HSS,frequency_bias,mean_abs_timing_error_h,mean_signed_timing_error_h,amount_MAE,amount_Bias,source_type,lead_aware,status,cadence_tolerance_hours
development_2023_2025,ECMWF_HRES,1,strict_hourly,0.1,0.1,value per source interval,sample,25729,2194,509,65,2129,444,23091,0.0296,0.8723,0.0246,0.0165,0.232,0.0,0.0,,,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,episode_pm1h,0.1,0.1,value per source interval,one_to_one_episode,25729,1115,53,7,1108,46,,0.0063,0.8679,0.006,,0.04753,0.714,-0.143,1.743,-0.143,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,episode_pm2h,0.1,0.1,value per source interval,one_to_one_episode,25729,1115,53,12,1103,41,,0.0108,0.7736,0.0104,,0.04753,1.25,-0.25,1.142,0.042,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,cadence_aware_episode,0.1,0.1,value per source interval,one_to_one_episode,25729,1115,53,7,1108,46,,0.0063,0.8679,0.006,,0.04753,0.714,-0.143,1.743,-0.143,continuous_historical,False,shadow_only,1
development_2023_2025,ECMWF_HRES,1,complete_3h_same_numeric,0.1,0.1,value/3h,complete_3h_sum,8539,1420,169,34,1386,135,6984,0.0239,0.7988,0.0219,0.0077,0.11901,0.0,0.0,4.027,-3.978,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,complete_3h_rate_equivalent,0.1,0.30000000000000004,value/3h,complete_3h_sum,8539,840,169,27,813,142,7557,0.0321,0.8402,0.0275,0.0213,0.20119,0.0,0.0,6.715,-6.641,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,strict_hourly,1.0,1.0,value per source interval,sample,25729,853,98,9,844,89,24787,0.0106,0.9082,0.0096,0.0122,0.11489,0.0,0.0,,,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,episode_pm1h,1.0,1.0,value per source interval,one_to_one_episode,25729,523,26,3,520,23,,0.0057,0.8846,0.0055,,0.04971,0.667,0.667,6.033,-6.033,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,episode_pm2h,1.0,1.0,value per source interval,one_to_one_episode,25729,523,26,4,519,22,,0.0076,0.8462,0.0073,,0.04971,1.0,1.0,4.65,-4.4,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,cadence_aware_episode,1.0,1.0,value per source interval,one_to_one_episode,25729,523,26,3,520,23,,0.0057,0.8846,0.0055,,0.04971,0.667,0.667,6.033,-6.033,continuous_historical,False,shadow_only,1
development_2023_2025,ECMWF_HRES,1,complete_3h_same_numeric,1.0,1.0,value/3h,complete_3h_sum,8539,652,68,12,640,56,7831,0.0184,0.8235,0.0169,0.0192,0.10429,0.0,0.0,8.452,-8.438,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,complete_3h_rate_equivalent,1.0,3.0,value/3h,complete_3h_sum,8539,425,32,4,421,28,8086,0.0094,0.875,0.0088,0.0106,0.07529,0.0,0.0,12.053,-12.042,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,strict_hourly,1.5,1.5,value per source interval,sample,25729,716,59,6,710,53,24960,0.0084,0.8983,0.0078,0.0113,0.0824,0.0,0.0,,,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,episode_pm1h,1.5,1.5,value per source interval,one_to_one_episode,25729,458,17,2,456,15,,0.0044,0.8824,0.0042,,0.03712,0.5,0.5,8.95,-8.95,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,episode_pm2h,1.5,1.5,value per source interval,one_to_one_episode,25729,458,17,2,456,15,,0.0044,0.8824,0.0042,,0.03712,0.5,0.5,8.95,-8.95,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,cadence_aware_episode,1.5,1.5,value per source interval,one_to_one_episode,25729,458,17,2,456,15,,0.0044,0.8824,0.0042,,0.03712,0.5,0.5,8.95,-8.95,continuous_historical,False,shadow_only,1
development_2023_2025,ECMWF_HRES,1,complete_3h_same_numeric,1.5,1.5,value/3h,complete_3h_sum,8539,565,60,9,556,51,7923,0.0159,0.85,0.0146,0.0163,0.10619,0.0,0.0,9.573,-9.557,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,complete_3h_rate_equivalent,1.5,4.5,value/3h,complete_3h_sum,8539,337,19,2,335,17,8185,0.0059,0.8947,0.0056,0.0071,0.05638,0.0,0.0,14.274,-14.274,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,strict_hourly,5.0,5.0,value per source interval,sample,25729,343,0,0,343,0,25386,0.0,,0.0,0.0,0.0,,,,,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,episode_pm1h,5.0,5.0,value per source interval,one_to_one_episode,25729,277,0,0,277,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,episode_pm2h,5.0,5.0,value per source interval,one_to_one_episode,25729,277,0,0,277,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,cadence_aware_episode,5.0,5.0,value per source interval,one_to_one_episode,25729,277,0,0,277,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,1
development_2023_2025,ECMWF_HRES,1,complete_3h_same_numeric,5.0,5.0,value/3h,complete_3h_sum,8539,322,17,2,320,15,8202,0.0062,0.8824,0.0059,0.008,0.0528,0.0,0.0,14.721,-14.721,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,complete_3h_rate_equivalent,5.0,15.0,value/3h,complete_3h_sum,8539,98,0,0,98,0,8441,0.0,,0.0,0.0,0.0,,,28.564,-28.564,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,strict_hourly,10.0,10.0,value per source interval,sample,25729,143,0,0,143,0,25586,0.0,,0.0,0.0,0.0,,,,,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,episode_pm1h,10.0,10.0,value per source interval,one_to_one_episode,25729,117,0,0,117,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,
