hourly_threshold_mm,product,model,development_rank,holdout_rank,rank_change_holdout_minus_development,development_CSI,holdout_CSI,development_FAR,holdout_FAR,development_top3,holdout_top3
0.1,cadence_aware_episode,CMA_GRAPES_GLOBAL,1,2,1,0.1399,0.1584,0.6651,0.7303,True,True
0.1,cadence_aware_episode,ECMWF_HRES,8,7,-1,0.006,0.1098,0.8679,0.8159,False,False
0.1,cadence_aware_episode,GEM_GLOBAL,5,1,-4,0.106,0.1643,0.7183,0.6993,False,True
0.1,cadence_aware_episode,GFS_GLOBAL,4,8,4,0.1066,0.0935,0.8164,0.8679,False,False
0.1,cadence_aware_episode,ICON_SEAMLESS,2,6,4,0.1326,0.1117,0.7724,0.8314,True,False
0.1,cadence_aware_episode,JMA_GSM,7,3,-4,0.0606,0.1322,0.688,0.6832,False,True
0.1,cadence_aware_episode,METEOFRANCE_ARPEGE_WORLD,6,4,-2,0.1013,0.1205,0.7952,0.8288,False,False
0.1,cadence_aware_episode,UKMO_GLOBAL_10KM,3,5,2,0.1193,0.1204,0.8194,0.8196,True,False
0.1,complete_3h_rate_equivalent,CMA_GRAPES_GLOBAL,4,7,3,0.1546,0.1364,0.7839,0.8413,False,False
0.1,complete_3h_rate_equivalent,ECMWF_HRES,8,3,-5,0.0275,0.1686,0.8402,0.8246,False,True
0.1,complete_3h_rate_equivalent,GEM_GLOBAL,6,5,-1,0.1377,0.1662,0.8071,0.8018,False,False
0.1,complete_3h_rate_equivalent,GFS_GLOBAL,3,6,3,0.155,0.1389,0.8118,0.851,True,False
0.1,complete_3h_rate_equivalent,ICON_SEAMLESS,1,2,1,0.1916,0.1712,0.7516,0.8099,True,True
0.1,complete_3h_rate_equivalent,JMA_GSM,7,8,1,0.1221,0.1267,0.8277,0.8646,False,False
0.1,complete_3h_rate_equivalent,METEOFRANCE_ARPEGE_WORLD,2,4,2,0.1772,0.1667,0.7764,0.8134,True,False
0.1,complete_3h_rate_equivalent,UKMO_GLOBAL_10KM,5,1,-4,0.1389,0.1954,0.8141,0.7639,False,True
0.1,complete_3h_same_numeric,CMA_GRAPES_GLOBAL,4,8,4,0.1882,0.1723,0.6774,0.7708,False,False
0.1,complete_3h_same_numeric,ECMWF_HRES,8,1,-7,0.0219,0.25,0.7988,0.7251,False,True
0.1,complete_3h_same_numeric,GEM_GLOBAL,6,4,-2,0.1657,0.214,0.7152,0.7123,False,False
0.1,complete_3h_same_numeric,GFS_GLOBAL,3,6,3,0.209,0.2041,0.7353,0.7784,True,False
0.1,complete_3h_same_numeric,ICON_SEAMLESS,1,2,1,0.2449,0.2396,0.6762,0.7328,True,True
0.1,complete_3h_same_numeric,JMA_GSM,7,7,0,0.1635,0.1833,0.7208,0.7905,False,False
0.1,complete_3h_same_numeric,METEOFRANCE_ARPEGE_WORLD,2,5,3,0.2194,0.2133,0.6904,0.7532,True,False
0.1,complete_3h_same_numeric,UKMO_GLOBAL_10KM,5,3,-2,0.1837,0.2185,0.7535,0.7271,False,True
0.1,episode_pm1h,CMA_GRAPES_GLOBAL,5,1,-4,0.0811,0.1286,0.7953,0.7753,False,True
0.1,episode_pm1h,ECMWF_HRES,8,6,-2,0.006,0.1098,0.8679,0.8159,False,False
0.1,episode_pm1h,GEM_GLOBAL,6,2,-4,0.0703,0.1241,0.807,0.7647,False,True
0.1,episode_pm1h,GFS_GLOBAL,3,8,5,0.1066,0.0935,0.8164,0.8679,True,False
0.1,episode_pm1h,ICON_SEAMLESS,1,5,4,0.1326,0.1117,0.7724,0.8314,True,False
0.1,episode_pm1h,JMA_GSM,7,7,0,0.0372,0.096,0.804,0.7624,False,False
0.1,episode_pm1h,METEOFRANCE_ARPEGE_WORLD,4,3,-1,0.1013,0.1205,0.7952,0.8288,False,True
0.1,episode_pm1h,UKMO_GLOBAL_10KM,2,4,2,0.1193,0.1204,0.8194,0.8196,True,False
0.1,episode_pm2h,CMA_GRAPES_GLOBAL,5,6,1,0.1399,0.1584,0.6651,0.7303,False,False
0.1,episode_pm2h,ECMWF_HRES,8,7,-1,0.0104,0.1508,0.7736,0.7562,False,False
0.1,episode_pm2h,GEM_GLOBAL,6,5,-1,0.106,0.1643,0.7183,0.6993,False,False
0.1,episode_pm2h,GFS_GLOBAL,4,3,-1,0.1591,0.1831,0.7384,0.761,False,True
0.1,episode_pm2h,ICON_SEAMLESS,1,4,3,0.2026,0.1662,0.6726,0.7608,True,False
0.1,episode_pm2h,JMA_GSM,7,8,1,0.0606,0.1322,0.688,0.6832,False,False
0.1,episode_pm2h,METEOFRANCE_ARPEGE_WORLD,3,2,-1,0.1647,0.2016,0.685,0.7329,True,True
0.1,episode_pm2h,UKMO_GLOBAL_10KM,2,1,-1,0.1744,0.2022,0.7484,0.7176,True,True
0.1,strict_hourly,CMA_GRAPES_GLOBAL,4,7,3,0.1319,0.1074,0.8215,0.8748,False,False
0.1,strict_hourly,ECMWF_HRES,8,2,-6,0.0246,0.1431,0.8723,0.8504,False,True
0.1,strict_hourly,GEM_GLOBAL,5,3,-2,0.1147,0.14,0.8441,0.8335,False,True
0.1,strict_hourly,GFS_GLOBAL,3,6,3,0.1352,0.119,0.8368,0.8708,True,False
0.1,strict_hourly,ICON_SEAMLESS,1,1,0,0.1516,0.1458,0.8045,0.8387,True,True
0.1,strict_hourly,JMA_GSM,6,8,2,0.108,0.1051,0.853,0.8875,False,False
0.1,strict_hourly,METEOFRANCE_ARPEGE_WORLD,2,4,2,0.1442,0.1242,0.8175,0.8568,True,False
0.1,strict_hourly,UKMO_GLOBAL_10KM,7,5,-2,0.0941,0.1231,0.8732,0.8444,False,False
1.0,cadence_aware_episode,CMA_GRAPES_GLOBAL,1,7,6,0.1011,0.0647,0.7784,0.9035,True,False
1.0,cadence_aware_episode,ECMWF_HRES,8,6,-2,0.0055,0.0797,0.8846,0.8659,False,False
1.0,cadence_aware_episode,GEM_GLOBAL,4,1,-3,0.0859,0.1491,0.754,0.7344,False,True
1.0,cadence_aware_episode,GFS_GLOBAL,3,4,1,0.0861,0.1081,0.8649,0.8659,True,False
1.0,cadence_aware_episode,ICON_SEAMLESS,2,5,3,0.0869,0.0878,0.8326,0.8846,True,False
1.0,cadence_aware_episode,JMA_GSM,7,8,1,0.0322,0.0645,0.7791,0.8125,False,False
1.0,cadence_aware_episode,METEOFRANCE_ARPEGE_WORLD,6,2,-4,0.0788,0.1189,0.8533,0.8429,False,True
1.0,cadence_aware_episode,UKMO_GLOBAL_10KM,5,3,-2,0.0827,0.109,0.8672,0.8396,False,True
1.0,complete_3h_rate_equivalent,CMA_GRAPES_GLOBAL,4,7,3,0.0727,0.0631,0.8767,0.9255,False,False
1.0,complete_3h_rate_equivalent,ECMWF_HRES,8,2,-6,0.0088,0.1197,0.875,0.8468,False,True
1.0,complete_3h_rate_equivalent,GEM_GLOBAL,3,1,-2,0.0824,0.1339,0.8406,0.8101,True,True
1.0,complete_3h_rate_equivalent,GFS_GLOBAL,1,4,3,0.1042,0.0734,0.8392,0.9085,True,False
1.0,complete_3h_rate_equivalent,ICON_SEAMLESS,5,5,0,0.0723,0.0694,0.8423,0.9124,False,False
1.0,complete_3h_rate_equivalent,JMA_GSM,7,8,1,0.0538,0.0574,0.8507,0.9136,False,False
1.0,complete_3h_rate_equivalent,METEOFRANCE_ARPEGE_WORLD,2,6,4,0.1011,0.0645,0.8392,0.9145,True,False
1.0,complete_3h_rate_equivalent,UKMO_GLOBAL_10KM,6,3,-3,0.0658,0.0916,0.882,0.8737,False,True
