Hourly Report for WAWP
STN YYYYMMDD GG QFE36   QFF36   TEMP36   DEWP36   RH36   WD36   WS36   WD36   WS36   RA36   
xxx                                                       10     10     60     60           
                hPa     hPa     degC     degC     %      deg    kt     deg    kt     mm     
000 20260701 00 10100   10115    261      214      76    156      3    134      3        0  
000 20260701 01 10102   10117    283      213      66    191      1    167      2        0  
000 20260701 02 10101   10116    296      213      61    299      5    243      3        0  
000 20260701 03 10096   10111    296      216      62    277      6    281      6        0  
000 20260701 04 10090   10104    302      221      62    275      6    278      6        0  
000 20260701 05 10083   10098    298      222      64    273      6    272      6        0  
000 20260701 06 10077   10092    302      226      64    261      7    263      7        0  
000 20260701 07 10073   10088    301      227      65    264      6    261      7        0  
000 20260701 08 10073   10088    299      226      65    260      6    261      6        0  
000 20260701 09 10075   10090    295      230      68    269      4    261      4        0  
000 20260701 10 10079   10094    285      221      69    044      2    267      2        0  
000 20260701 11 10083   10098    260      233      85    102      4    087      3        0  
000 20260701 12 10091   10106    251      233      90    096      3    095      3        0  
000 20260701 13 10099   10114    244      232      93    132      3    134      3        0  
000 20260701 14 10099   10115    239      223      91    145      2    123      3        0  
000 20260701 15 10099   10114    232      220      93    102      3    116      2        0  
000 20260701 16 10100   10116   ////      216      96    360      1    ///    ///        1  
000 20260701 17 10094   10110    221      214      96    153      1    161      2        0  
000 20260701 18 10092   10107    220      212      95    098      1    138      1        0  
000 20260701 19 10088   10103    217      209      95    149      4    133      2        0  
000 20260701 20 10089   10104    226      210      91    127      4    138      3        0  
000 20260701 21 10091   10107    226      211      91    125      2    118      3        0  
000 20260701 22 10093   10108    215      208      95    158      3    125      3        0  
000 20260701 23 10099   10115    227      209      90    143      2    147      3        0  
000 20260702 00 10106   10121    261      218      77    135      3    138      4        1  
000 20260702 01 10105   10120    285      217      67    123      3    134      3        1  
000 20260702 02 10104   10119    299      218      62    309      4    310      4        0  
000 20260702 03 10097   10112    301      221      62    306      5    299      5        0  
000 20260702 04 10092   10107    304      222      62    289      7    291      6        0  
000 20260702 05 10085   10100    306      227      63    289      6    295      6        0  
000 20260702 06 10079   10094    307      227      63    291      7    291      6        0  
000 20260702 07 10076   10091    304      237      68    289      6    293      6        0  
000 20260702 08 10078   10093    301      240      70    283      6    279      6        0  
000 20260702 09 10081   10096    294      238      72    281      4    279      5        0  
000 20260702 10 10085   10100    280      241      79    280      3    282      4        0  
000 20260702 11 10088   10104    267      244      87    100      3    168      2        0  
000 20260702 12 10097   10112    258      243      91    360      0    100      2        0  
000 20260702 13 10103   10118    255      237      90    089      2    097      2        0  
000 20260702 14 10108   10123    248      226      87    138      2    097      3        0  
000 20260702 15 10112   10127    233      224      94    140      2    117      1        0  
000 20260702 16 10110   10125    231      219      93    143      4    145      3        0  
000 20260702 17 10108   10123    233      215      90    113      4    125      3        0  
000 20260702 18 10102   10117    235      214      88    135      3    128      3        0  
000 20260702 19 10099   10114    239      214      86    137      5    134      4        0  
000 20260702 20 10101   10117    239      215      87    042      2    079      3        0  
000 20260702 21 10103   10118    226      214      93    237      1    063      1        0  
000 20260702 22 10105   10120    217      211      96    360      1    215      1        0  
000 20260702 23 10111   10126    232      212      88    022      2    084      2        0  
000 20260703 00 10115   10131    270      218      73    087      3    096      2        0  
000 20260703 01 10119   10134    294      215      63    095      6    101      5        0  
000 20260703 02 10118   10133    306      215      58    117      5    126      5        0  
000 20260703 03 10112   10126    311      219      58    148      5    128      5        0  
000 20260703 04 10107   10122    308      227      62    301      6    310      5        0  
000 20260703 05 10101   10116    310      233      64    279      6    291      6        0  
000 20260703 06 10095   10110    305      237      67    276      7    278      6        0  
000 20260703 07 10091   10106    304      242      70    261      6    264      6        0  
000 20260703 08 10091   10106    292      236      72    199      3    221      4        0  
000 20260703 09 10094   10109    298      229      67    247      3    224      2        0  
000 20260703 10 10097   10112    281      236      77    050      1    093      2        0  
000 20260703 11 10106   10121    263      241      88    103      3    096      2        0  
000 20260703 12 10115   10130    257      242      91    107      4    106      4        0  
000 20260703 13 10120   10135    257      230      85    122      2    104      3        0  
000 20260703 14 10122   10137    247      224      87    135      2    124      2        0  
000 20260703 15 10122   10138    238      223      91    175      2    148      2        0  
000 20260703 16 10123   10138    236      224      93    178      2    125      1        0  
000 20260703 17 10121   10136    233      225      95    175      3    187      1        0  
000 20260703 18 10115   10131    239      225      92    140      1    152      2        0  
000 20260703 19 10114   10129    232      224      95    179      2    155      2        0  
000 20260703 20 10113   10129    233      223      94    137      2    132      2        0  
000 20260703 21 10114   10130    223      217      97    137      2    163      1        0  
000 20260703 22 10115   10130    217      213      98    360      1    360      1        0  
000 20260703 23 10121   10136    225      213      93    360      1    360      1        0  
000 20260704 00 10124   10139    268      221      76    041      2    118      1        0  
000 20260704 01 10124   10139    291      222      66    233      3    041      2        0  
000 20260704 02 10122   10137    294      224      66    132      4    251      4        0  
000 20260704 03 10115   10130    312      220      59    292      6    092      5        0  
000 20260704 04 10110   10124    300      230      66    289      6    293      7        0  
000 20260704 05 10105   10120    307      231      64    284      7    286      6        0  
000 20260704 06 10098   10113    304      231      65    249      7    257      7        0  
000 20260704 07 10094   10109    299      241      71    245      8    244      7        0  
000 20260704 08 10096   10111    298      237      70    239      6    246      7        0  
000 20260704 09 10100   10115    295      239      72    226      6    237      6        0  
000 20260704 10 10104   10119    282      238      77    222      5    229      5        0  
000 20260704 11 10111   10126    273      238      81    149      4    197      5        0  
000 20260704 12 10119   10134    255      229      86    042      5    033      6        0  
000 20260704 13 10121   10136    243      225      90    076      2    066      2        0  
000 20260704 14 10118   10134    236      225      94    093      1    092      2        0  
000 20260704 15 10119   10134    232      224      96    360      0    119      2        0  
000 20260704 16 10118   10133    227      221      96    153      1    118      1        0  
000 20260704 17 10114   10130    223      217      96    144      1    360      1        0  
000 20260704 18 10110   10125    221      213      95    135      1    123      2        0  
000 20260704 19 10105   10121    220      207      92    122      4    120      3        0  
000 20260704 20 10108   10124    221      206      91    136      5    127      4        0  
000 20260704 21 10111   10126    223      209      92    118      4    126      5        0  
000 20260704 22 10114   10129    218      208      94    121      2    109      3        0  
000 20260704 23 10121   10136    223      207      91    098      3    110      3        0  
000 20260705 00 10127   10143    263      217      76    040      4    070      2        0  
000 20260705 01 10127   10143    282      215      67    098      3    061      3        0  
000 20260705 02 10124   10139    295      216      63    124      6    132      4        0  
000 20260705 03 10117   10132    304      215      59    150      4    156      5        0  
000 20260705 04 10107   10122    312      208      54    147      5    134      5        0  
000 20260705 05 10096   10111    317      209      53    308      4    119      4        0  
000 20260705 06 10087   10102    308      222      60    267      5    287      5        0  
000 20260705 07 10084   10099    310      223      60    294      2    288      3        0  
000 20260705 08 10084   10099    311      224      60    084      4    017      3        0  
000 20260705 09 10088   10103    290      212      63    121      4    123      3        0  
000 20260705 10 10096   10111    274      211      69    120      3    124      3        0  
000 20260705 11 10102   10118    250      215      81    115      3    119      2        0  
000 20260705 12 10109   10125    234      217      91    153      1    123      2        0  
000 20260705 13 10114   10129    226      215      94    166      2    142      1        0  
000 20260705 14 10116   10132    222      212      94    360      1    360      1        0  
000 20260705 15 10119   10134    217      209      96    207      2    177      1        0  
000 20260705 16 10120   10135    219      208      94    139      4    172      2        0  
000 20260705 17 10116   10131    234      204      83    113      2    112      3        0  
000 20260705 18 10111   10126    223      199      86    140      2    131      2        0  
000 20260705 19 10109   10124    227      192      81    093      3    068      2        0  
000 20260705 20 10111   10126    216      188      84    092      3    083      2        0  
000 20260705 21 10111   10127    216      185      83    360      1    099      2        0  
000 20260705 22 10117   10133    199      189      94    203      1    360      1        0  
000 20260705 23 10121   10137    205      191      92    192      1    360      1        0  
000 20260706 00 10125   10140    253      207      76    150      2    142      1        0  
000 20260706 01 10124   10139    281      207      64    114      5    125      4        0  
000 20260706 02 10121   10136    295      201      57    127      7    117      6        0  
000 20260706 03 10112   10126    305      200      54    136      6    126      6        0  
000 20260706 04 10105   10120    312      196      50    149      5    137      6        0  
000 20260706 05 10096   10111    317      187      46    148      3    141      5        0  
000 20260706 06 10091   10106    314      206      54    248      8    243      5        0  
000 20260706 07 10087   10101    303      223      62    248      7    249      8        0  
000 20260706 08 10086   10101    306      217      59    256      6    254      6        0  
000 20260706 09 10091   10106    302      217      61    235      5    243      5        0  
000 20260706 10 10096   10111    287      216      65    121      3    175      3        0  
000 20260706 11 10103   10118    263      209      72    111      3    128      3        0  
000 20260706 12 10109   10124    248      206      77    076      4    096      3        0  
000 20260706 13 10114   10129    248      200      75    096      3    080      4        0  
000 20260706 14 10116   10131    232      204      84    069      2    119      2        0  
000 20260706 15 10116   10132    218      205      93    360      0    360      1        0  
000 20260706 16 10116   10131    210      202      95    360      1    360      1        0  
000 20260706 17 10110   10126    204      199      96    360      1    360      1        0  
000 20260706 18 10109   10125    202      196      97    360      0    360      0        0  
000 20260706 19 10106   10122    199      193      97    154      1    176      1        0  
000 20260706 20 10106   10122    195      191      97    360      1    360      1        0  
000 20260706 21 10109   10125    196      191      97    255      1    147      1        0  
000 20260706 22 10111   10127    196      191      97    360      1    197      1        0  
000 20260706 23 10117   10132    207      195      93    360      0    360      0        0  
000 20260707 00 10121   10136    260      210      74    065      1    360      1        0  
000 20260707 01 10120   10135    288      201      60    105      2    070      2        0  
000 20260707 02 10112   10126    303      193      52    105      6    095      6        0  
000 20260707 03 10105   10120    313      187      47    118      6    122      7        0  
000 20260707 04 10099   10114    308      213      57    267      8    284      6        0  
000 20260707 05 10093   10108    308      213      57    259      8    268      8        0  
000 20260707 06 10085   10100    297      231      68    241      7    248      8        0  
000 20260707 07 10083   10098    298      232      68    244      8    248      8        0  
000 20260707 08 10083   10098    300      228      65    254      6    249      7        0  
000 20260707 09 10086   10101    294      233      70    215     10    227      8        0  
000 20260707 10 10094   10109    284      230      73    181      8    204      8        0  
000 20260707 11 10103   10118    275      217      70    148      5    148      5        0  
000 20260707 12 10110   10125    268      219      75    156      3    142      4        0  
000 20260707 13 10116   10131    261      222      79    114      2    150      3        0  
000 20260707 14 10119   10134    253      224      84    207      2    173      1        0  
000 20260707 15 10120   10135    244      225      89    213      2    201      1        0  
000 20260707 16 10119   10135    237      224      92    360      1    148      1        0  
000 20260707 17 10115   10130    228      221      95    170      1    162      1        0  
000 20260707 18 10113   10128    221      216      97    360      1    162      1        0  
000 20260707 19 10110   10126    215      211      97    124      3    153      2        0  
000 20260707 20 10111   10127    216      209      96    116      2    091      2        0  
000 20260707 21 10113   10128    212      205      95    126      2    105      2        0  
000 20260707 22 10114   10130    204      199      97    166      2    161      1        0  
000 20260707 23 10117   10132    212      202      94    145      1    153      1        0  
000 20260708 00 10118   10133    256      213      78    216      3    175      2        0  
000 20260708 01 10117   10132    281      214      67    100      7    144      5        0  
000 20260708 02 10115   10130    298      212      60    088      6    103      6        0  
000 20260708 03 10107   10122    308      208      55    075      5    110      6        0  
000 20260708 04 10099   10114    300      224      64    327      5    321      5        0  
000 20260708 05 10092   10107    301      225      64    252      7    287      6        0  
000 20260708 06 10083   10098    299      226      65    230     10    237      9        0  
000 20260708 07 10075   10090    298      230      67    228      9    226     10        0  
000 20260708 08 10074   10089    296      231      68    224      8    223      9        0  
000 20260708 09 10082   10097    293      232      70    213      5    218      6        0  
000 20260708 10 10091   10106    284      221      69    102      3    137      3        0  
000 20260708 11 10099   10114    265      219      76    140      3    137      3        0  
000 20260708 12 10106   10121    257      219      80    158      3    155      3        0  
000 20260708 13 10112   10127    252      220      83    157      2    159      3        0  
000 20260708 14 10114   10130    234      219      92    098      2    151      2        0  
000 20260708 15 10117   10132    228      215      92    142      2    133      2        0  
000 20260708 16 10117   10132    221      214      96    360      0    177      1        0  
000 20260708 17 10112   10127    217      211      96    183      3    196      2        0  
000 20260708 18 10111   10126    214      209      97    161      1    154      1        0  
000 20260708 19 10110   10125    214      208      97    360      1    360      0        0  
000 20260708 20 10108   10123    215      210      97    360      1    360      1        0  
000 20260708 21 10111   10126    216      211      97    360      1    170      1        0  
000 20260708 22 10114   10129    218      213      97    179      2    193      1        0  
000 20260708 23 10118   10134    223      217      96    185      2    186      1        0  
000 20260709 00 10123   10138    241      224      91    200      3    194      3        0  
000 20260709 01 10123   10138    265      227      80    108      5    171      3        0  
000 20260709 02 10121   10136    289      216      65    116      5    122      6        0  
000 20260709 03 10115   10130    301      211      59    136      6    122      5        0  
000 20260709 04 10107   10122    307      206      55    131      5    151      5        0  
000 20260709 05 10099   10114    306      212      58    245      6    170      5        0  
000 20260709 06 10092   10107    303      217      60    264      6    261      6        0  
000 20260709 07 10088   10102    305      225      62    235      8    239      7        0  
000 20260709 08 10088   10103    299      232      67    233      5    230      7        0  
000 20260709 09 10091   10106    293      234      70    222      7    225      7        0  
000 20260709 10 10097   10112    281      223      71    190      2    207      5        0  
000 20260709 11 10107   10122    256      222      81    177      3    182      3        0  
000 20260709 12 10114   10129    249      221      85    191      3    180      3        0  
000 20260709 13 10118   10133    247      223      87    360      1    185      2        0  
000 20260709 14 10120   10135    236      222      92    203      1    360      1        0  
000 20260709 15 10121   10136    240      224      90    196      1    360      1        0  
000 20260709 16 10122   10138    234      222      93    360      0    217      1        0  
000 20260709 17 10118   10133    229      220      95    170      2    189      1        0  
000 20260709 18 10117   10132    224      218      96    181      3    178      2        0  
000 20260709 19 10114   10129    219      214      97    360      0    162      1        0  
000 20260709 20 10115   10130    215      211      97    177      1    360      1        0  
000 20260709 21 10117   10132    218      211      96    119      3    132      2        0  
000 20260709 22 10120   10136    217      208      94    121      3    125      3        0  
000 20260709 23 10125   10140    217      208      95    165      1    141      2        0  
000 20260710 00 10132   10147    237      216      89    360      1    360      1        0  
000 20260710 01 10130   10145    266      219      76    107      3    153      2        0  
000 20260710 02 10129   10144    285      215      66    128      5    118      5        0  
000 20260710 03 10121   10136    293      216      63    330      3    026      4        0  
000 20260710 04 10111   10126    298      216      62    080      3    298      3        0  
000 20260710 05 10103   10118    302      213      59    103      5    149      4        0  
000 20260710 06 10093   10108    311      198      51    150      6    125      5        0  
000 20260710 07 10091   10106    310      214      57    311      6    016      5        0  
000 20260710 08 10093   10108    303      224      63    294      3    299      5        0  
000 20260710 09 10098   10113    293      218      64    092      2    076      3        0  
000 20260710 10 10104   10119    274      216      70    139      3    136      3        0  
000 20260710 11 10108   10123    257      218      79    135      2    140      2        0  
000 20260710 12 10116   10132    245      213      82    360      1    102      2        0  
000 20260710 13 10122   10137    234      210      86    083      2    048      1        0  
000 20260710 14 10125   10140    242      208      81    013      1    101      2        0  
