Hourly Report for WAWP
STN YYYYMMDD GG QFE36   QFF36   TEMP36   DEWP36   RH36   WD36   WS36   WD36   WS36   RA36   
xxx                                                       10     10     60     60           
                hPa     hPa     degC     degC     %      deg    kt     deg    kt     mm     
000 20260601 00 10114   10129    286      254      83    137      5    126      4        0  
000 20260601 01 10117   10132    290      256      82    128      3    126      5        0  
000 20260601 02 10114   10129    290      258      83    141      5    137      5        0  
000 20260601 03 10107   10122    297      258      80    143      6    142      6        0  
000 20260601 04 10100   10115    309      262      76    154      5    154      6        0  
000 20260601 05 10093   10108    303      261      78    166      6    162      6        0  
000 20260601 06 10085   10100    305      259      77    164      4    149      5        0  
000 20260601 07 10079   10094    312      265      76    227      6    220      6        0  
000 20260601 08 10082   10097    303      260      78    226      5    232      6        0  
000 20260601 09 10085   10100    299      260      79    154      3    204      5        0  
000 20260601 10 10091   10106    288      267      89    174      3    168      3        0  
000 20260601 11 10096   10111    275      263      93    133      2    156      2        0  
000 20260601 12 10103   10118    263      260      98    360      0    150      2        0  
000 20260601 13 10106   10121    251      250     100    060      2    360      1        0  
000 20260601 14 10107   10123    247      246     100    230      2    079      2        0  
000 20260601 15 10109   10124    242      242     100    198      2    339      2        0  
000 20260601 16 10106   10122    237      237     100    156      2    158      1        0  
000 20260601 17 10102   10118    239      239     100    131      3    127      4        0  
000 20260601 18 10098   10113    240      240     100    137      3    136      3        0  
000 20260601 19 10096   10111    241      241     100    133      2    130      2        0  
000 20260601 20 10099   10114    241      241     100    094      3    115      3        0  
000 20260601 21 10098   10114    245      244     100    130      2    108      3        0  
000 20260601 22 10100   10116    242      241     100    117      3    143      3        0  
000 20260601 23 10107   10122    246      245     100    113      2    135      2        0  
000 20260602 00 10109   10124    274      247      86    215      1    147      2        0  
000 20260602 01 10109   10124    301      251      75    112      4    118      2        0  
000 20260602 02 10107   10122    307      252      73    308      5    317      4        0  
000 20260602 03 10103   10118    306      257      75    308      5    302      5        0  
000 20260602 04 10094   10109    309      261      76    279      6    293      6        0  
000 20260602 05 10086   10101    306      265      79    247      7    253      7        0  
000 20260602 06 10078   10093    303      267      81    230      7    232      6        0  
000 20260602 07 10071   10086    310      260      75    228      7    228      7        0  
000 20260602 08 10074   10089    296      262      82    142      3    183      5        0  
000 20260602 09 10078   10093    275      271      98    072      3    065      3        0  
000 20260602 10 10085   10101    270      269     100    056      5    062      3        0  
000 20260602 11 10090   10105    264      263     100    045      2    064      2        0  
000 20260602 12 10094   10109    256      256     100    046      1    061      3        0  
000 20260602 13 10096   10111    253      252     100    129      2    090      2        0  
000 20260602 14 10099   10115    248      247     100    163      1    088      2        0  
000 20260602 15 10099   10114    245      244     100    131      1    147      1        0  
000 20260602 16 10096   10111    243      243     100    114      2    124      3        0  
000 20260602 17 10094   10109    243      242     100    360      1    141      2        0  
000 20260602 18 10088   10103    241      240     100    129      1    137      2        0  
000 20260602 19 10086   10102    240      239     100    215      1    139      2        0  
000 20260602 20 10085   10100    238      237     100    139      2    145      1        0  
000 20260602 21 10089   10104    236      235     100    137      2    142      2        0  
000 20260602 22 10094   10109    234      234     100    360      1    360      1        0  
000 20260602 23 10100   10115    242      241     100    145      1    134      1        0  
000 20260603 00 10105   10120    276      262      92    141      2    113      2        0  
000 20260603 01 10104   10119    296      260      81    036      1    116      1        0  
000 20260603 02 10103   10118    300      264      81    303      4    304      3        0  
000 20260603 03 10096   10111    299      264      81    294      4    295      4        0  
000 20260603 04 10087   10102    305      267      81    288      5    293      4        0  
000 20260603 05 10078   10093    311      271      80    302      5    291      5        0  
000 20260603 06 10071   10085    311      274      80    298      5    295      6        0  
000 20260603 07 10070   10085    310      276      83    300      6    299      6        0  
000 20260603 08 10069   10084    281      271      94    294      3    250      5       62  
000 20260603 09 10072   10087    287      272      92    218      2    254      3        0  
000 20260603 10 10078   10093    278      274      98    154      1    163      2        0  
000 20260603 11 10084   10100    268      267     100    069      4    124      3        0  
000 20260603 12 10089   10104    262      262     100    360      1    058      3        5  
000 20260603 13 10093   10108    260      259     100    088      2    097      2        0  
000 20260603 14 10099   10115    259      258     100    081      2    057      2        0  
000 20260603 15 10099   10114    259      259     100    120      3    103      3        1  
000 20260603 16 10099   10115    259      259     100    146      3    126      2        0  
000 20260603 17 10096   10111    258      258     100    114      4    119      4        0  
000 20260603 18 10093   10108    252      252     100    360      1    075      2        0  
000 20260603 19 10090   10105    243      242     100    117      2    056      2        0  
000 20260603 20 10090   10105    244      243     100    120      2    119      2        0  
000 20260603 21 10094   10110    240      240     100    085      1    100      1        0  
000 20260603 22 10097   10113    235      234      99    052      1    360      1        0  
000 20260603 23 10102   10118    246      245     100    102      2    075      1        0  
000 20260604 00 10109   10124    265      257      95    129      2    174      1        0  
000 20260604 01 10115   10130    280      255      86    112      4    120      3        0  
000 20260604 02 10112   10127    299      253      77    130      7    119      7        0  
000 20260604 03 10106   10121    313      256      72    083      5    104      6        0  
000 20260604 04 10098   10113    310      261      75    279      5    306      5        0  
000 20260604 05 10088   10103    307      262      77    255      5    264      6        0  
000 20260604 06 10079   10093    310      264      77    244      3    270      4        0  
000 20260604 07 10072   10087    325      256      67    153      8    137      6        0  
000 20260604 08 10076   10091    322      249      66    137      7    145      8        0  
000 20260604 09 10083   10098    311      247      69    149      6    153      6        0  
000 20260604 10 10090   10105    290      243      76    155      4    156      5        0  
000 20260604 11 10097   10112    282      241      79    135      6    141      6        0  
000 20260604 12 10107   10122    274      237      81    107      4    119      4        0  
000 20260604 13 10112   10127    266      235      83    094      4    109      4        0  
000 20260604 14 10114   10129    258      240      90    072      2    066      3        0  
000 20260604 15 10115   10131    251      246      97    029      1    061      1        0  
000 20260604 16 10117   10132    241      240     100    193      1    198      1        0  
000 20260604 17 10112   10127    232      231     100    141      3    156      2        0  
000 20260604 18 10110   10125    232      231     100    319      1    152      2        0  
000 20260604 19 10109   10125    223      223      99    360      0    162      1        0  
000 20260604 20 10107   10123    217      216      99    143      3    126      2        0  
000 20260604 21 10109   10124    216      215      99    162      2    138      3        0  
000 20260604 22 10111   10127    220      219      99    111      3    127      3        0  
000 20260604 23 10120   10135    234      233      99    360      0    070      1        0  
000 20260605 00 10124   10139    274      244      84    103      3    106      2        0  
000 20260605 01 10128   10143    290      239      74    116      5    118      5        0  
000 20260605 02 10129   10143    305      233      66    122      5    116      6        0  
000 20260605 03 10124   10139    312      235      64    292      5    299      4        0  
000 20260605 04 10116   10131    309      238      66    287      7    283      5        0  
000 20260605 05 10108   10123    311      241      66    281      7    278      7        0  
000 20260605 06 10099   10114    312      240      66    265      7    275      7        0  
000 20260605 07 10095   10110    314      244      66    282      6    272      7        0  
000 20260605 08 10095   10110    316      245      66    280      5    280      5        0  
000 20260605 09 10096   10111    312      243      67    172      5    264      3        0  
000 20260605 10 10104   10119    287      233      73    144      4    153      4        0  
000 20260605 11 10111   10126    271      230      78    128      5    124      4        0  
000 20260605 12 10115   10130    264      235      84    104      3    121      4        0  
000 20260605 13 10120   10135    248      244      98    110      2    097      2        0  
000 20260605 14 10122   10137    249      244      97    103      3    097      2        0  
000 20260605 15 10121   10137    248      248      99    101      2    080      2        0  
000 20260605 16 10120   10135    250      249     100    092      3    078      2        0  
000 20260605 17 10112   10127    244      244     100    131      2    103      2        0  
000 20260605 18 10108   10123    241      240     100    360      1    124      2        0  
000 20260605 19 10104   10119    231      230     100    106      2    095      2        0  
000 20260605 20 10104   10119    225      224     100    130      1    135      2        0  
000 20260605 21 10110   10125    222      221     100    117      2    111      1        0  
000 20260605 22 10115   10130    227      227     100    128      3    101      2        0  
000 20260605 23 10119   10135    245      242      98    123      4    119      3        0  
000 20260606 00 10124   10139    269      249      89    100      4    119      5        0  
000 20260606 01 10127   10142    287      242      77    121      8    109      7        0  
000 20260606 02 10123   10138    299      239      71    096      9    103      8        0  
000 20260606 03 10117   10132    307      236      66    102      7    112      8        0  
000 20260606 04 10108   10123    314      237      64    119      6    110      8        0  
000 20260606 05 10100   10115    319      240      63    142      7    127      6        0  
000 20260606 06 10091   10106    318      239      63    126      7    133      6        0  
000 20260606 07 10086   10101    324      241      62    156      8    147      7        0  
000 20260606 08 10088   10103    316      242      65    159      7    149      7        0  
000 20260606 09 10095   10110    306      240      68    145      6    144      7        0  
000 20260606 10 10105   10120    285      237      75    134      5    141      5        0  
000 20260606 11 10112   10127    275      249      86    103      3    125      4        0  
000 20260606 12 10121   10136    259      256      98    038      1    053      1        0  
000 20260606 13 10122   10137    256      255     100    118      3    105      3        0  
000 20260606 14 10124   10139    256      256     100    217      1    109      2        0  
000 20260606 15 10122   10137    241      240     100    160      1    164      1        0  
000 20260606 16 10120   10135    241      241     100    066      2    121      2        0  
000 20260606 17 10116   10131    241      241     100    178      2    142      2        0  
000 20260606 18 10110   10125    247      247     100    090      2    127      3        0  
000 20260606 19 10110   10126    252      251      99    128      2    112      2        0  
000 20260606 20 10109   10124    253      248      97    133      4    126      3        0  
000 20260606 21 10112   10128    252      245      95    121      3    122      3        0  
000 20260606 22 10118   10134    248      246      99    141      3    132      3        0  
000 20260606 23 10126   10141    251      249      99    119      4    133      3        0  
000 20260607 00 10128   10143    264      247      91    099      4    108      4        0  
000 20260607 01 10128   10143    279      248      83    105      6    108      6        0  
000 20260607 02 10126   10141    292      250      78    113      8    112      7        0  
000 20260607 03 10119   10134    305      250      73    138      7    113      7        0  
000 20260607 04 10111   10126    303      248      73    135      7    138      7        0  
000 20260607 05 10104   10119    314      249      69    113      6    128      6        0  
000 20260607 06 10096   10111    317      246      66    159      6    139      6        0  
000 20260607 07 10092   10107    302      247      72    118      3    119      4        0  
000 20260607 08 10094   10109    294      247      76    153      3    146      3        0  
000 20260607 09 10097   10112    288      248      79    144      3    140      3        0  
000 20260607 10 10103   10119    281      252      84    111      2    134      2        0  
000 20260607 11 10110   10125   ////      261      97    153      1    ///    ///        0  
000 20260607 12 10112   10127    263      260      98    113      2    126      2        0  
000 20260607 13 10116   10131    261      258      99    101      2    106      2        0  
000 20260607 14 10115   10130    258      251      96    166      2    117      2        0  
000 20260607 15 10113   10128    246      245     100    170      3    174      2        0  
000 20260607 16 10110   10125    245      244     100    077      3    104      2        0  
000 20260607 17 10108   10123    242      241     100    142      2    123      3        0  
000 20260607 18 10104   10119    234      233     100    136      3    162      2        0  
000 20260607 19 10101   10116    230      230     100    170      3    149      3        0  
000 20260607 20 10103   10118    229      229     100    360      1    154      2        0  
000 20260607 21 10107   10123    235      235     100    087      2    086      3        0  
000 20260607 22 10113   10128    234      233     100    166      2    145      2        0  
000 20260607 23 10118   10133    238      237     100    207      1    181      2        0  
000 20260608 00 10122   10138    257      254      98    104      1    230      1        0  
000 20260608 01 10122   10137    282      264      90    308      3    031      3        0  
000 20260608 04 10101   10116   ////      260      80    134      6    ///    ///        0  
000 20260608 05 10090   10105    305      259      77    133      6    139      7        0  
000 20260608 06 10081   10096    312      253      71    172      8    132      7        0  
000 20260608 07 10079   10094    309      256      74    168      3    150      4        0  
000 20260608 08 10084   10099    291      262      85    276      4    335      4        0  
000 20260608 09 10091   10106    272      262      94    010      8    002      5        8  
000 20260608 10 10094   10109    253      253     100    071      3    021      3        2  
000 20260608 11 10096   10111    247      246     100    084      2    092      2        0  
000 20260608 12 10101   10117    245      245     100    005      2    043      1        0  
000 20260608 13 10105   10120    243      242      99    360      1    112      2        0  
000 20260608 14 10108   10123    239      238      99    161      1    360      1        0  
000 20260608 15 10107   10123    237      236      99    100      3    130      3        0  
000 20260608 16 10106   10121    234      233      99    169      3    132      3        0  
000 20260608 17 10101   10117    232      231      99    057      2    124      2        0  
000 20260608 18 10099   10114    229      228      99    092      2    080      2        0  
000 20260608 19 10096   10111    225      224      99    360      1    091      2        0  
000 20260608 20 10097   10113    220      219      99    135      2    128      2        0  
000 20260608 21 10099   10114    218      217      99    143      4    151      2        0  
000 20260608 22 10102   10117    220      219      99    126      1    135      3        0  
000 20260608 23 10106   10122    228      227      99    360      1    157      1        0  
000 20260609 00 10114   10129    271      252      90    360      1    360      1        0  
000 20260609 01 10114   10129    291      251      79    130      5    117      3        0  
000 20260609 02 10108   10123    296      252      77    154      4    138      4        0  
000 20260609 03 10104   10119    302      257      77    310      4    305      3        0  
000 20260609 04 10097   10112    305      259      77    302      5    310      5        0  
000 20260609 05 10091   10105    308      259      75    299      4    303      5        0  
000 20260609 06 10087   10102    298      260      80    234      6    256      6        0  
000 20260609 07 10081   10096    292      262      84    213      4    230      5        0  
000 20260609 08 10081   10096    305      261      77    263      5    246      4        0  
000 20260609 09 10085   10100    308      260      76    292      2    261      3        0  
000 20260609 10 10088   10103    294      262      83    113      2    048      2        0  
000 20260609 11 10095   10110    274      269      97    066      3    080      3        0  
000 20260609 12 10099   10114    263      263     100    113      2    091      3        0  
000 20260609 13 10106   10121    257      256      99    123      3    121      3        0  
000 20260609 14 10109   10124    251      250      99    201      3    168      2        0  
000 20260609 15 10108   10123    246      245      99    176      3    186      3        0  
000 20260609 16 10108   10124    246      245      99    158      2    170      3        0  
000 20260609 17 10105   10120    244      243      99    144      1    142      2        0  
000 20260609 18 10098   10113    248      247      99    139      1    142      3        0  
000 20260609 19 10098   10113    251      251      99    135      3    113      2        0  
000 20260609 20 10098   10114    253      252      99    132      2    135      2        0  
000 20260609 21 10104   10119    249      248      99    175      1    153      2        0  
000 20260609 22 10108   10124    244      243      99    133      2    142      2        0  
000 20260609 23 10114   10129    248      247      99    063      1    148      1        0  
000 20260610 00 10119   10134    285      262      88    068      4    066      2        0  
000 20260610 01 10120   10135    298      257      79    120      6    118      4        0  
000 20260610 02 10116   10131    308      257      74    103      6    115      6        0  
000 20260610 03 10114   10129    313      254      71    056      5    097      6        0  
000 20260610 04 10105   10120    321      253      68    083      4    073      4        0  
000 20260610 05 10098   10113    321      254      68    061      2    048      4        0  
000 20260610 06 10092   10107    313      268      77    248      6    283      4        0  
000 20260610 07 10086   10101    278      269      95    253      6    256      6      120  
000 20260610 08 10089   10104    280      279     100    204      4    221      5        0  
000 20260610 09 10096   10111    281      280      99    066      2    191      4        2  
000 20260610 10 10100   10115    250      250      99    142      3    348      5       70  
000 20260610 11 10109   10125    247      246      99    084      3    106      1        0  
000 20260610 12 10117   10132    250      249      99    091      1    080      2        0  
000 20260610 13 10119   10134    245      244      99    181      1    206      2        0  
000 20260610 14 10123   10139    242      241      99    197      1    166      1        0  
000 20260610 15 10121   10136    238      237      99    143      2    144      2        0  
000 20260610 16 10118   10133   ////     ////     ///    119      2    ///    ///        0  
000 20260610 17 10115   10130    238      237      99    073      3    078      4        0  
000 20260610 18 10112   10127    234      233      99    110      2    114      2        0  
000 20260610 19 10105   10121    232      231      99    081      3    069      2        0  
000 20260610 20 10105   10120    231      230      99    052      1    075      2        0  
000 20260610 21 10110   10125    228      227      99    165      2    116      2        0  
000 20260610 22 10110   10125    227      226      99    129      1    139      1        0  
000 20260610 23 10116   10132    235      234      99    106      3    112      2        0  
000 20260611 00 10124   10139    278      266      93    108      2    100      2        1  
000 20260611 01 10125   10140    296      263      82    184      2    128      2        0  
000 20260611 02 10123   10138    296      266      84    050      3    119      3        0  
000 20260611 03 10115   10130    304      266      81    093      2    129      3        0  
000 20260611 04 10108   10123    303      269      83    292      4    337      4        1  
000 20260611 05 10102   10117    297      271      86    323      4    310      4        0  
000 20260611 06 10102   10117    285      278      96    159      7    008      4       26  
000 20260611 07 10099   10114    260      259      99    122      3    110      6       40  
000 20260611 08 10100   10115    252      251      99    360      1    093      1        2  
000 20260611 09 10105   10120    258      257      99    126      3    153      2        1  
000 20260611 10 10114   10129    255      254      99    079      2    113      3        0  
000 20260611 11 10118   10134    251      250      99    127      2    130      2        0  
000 20260611 12 10124   10139    249      248      99    112      3    133      2        0  
000 20260611 13 10128   10143    245      244      99    087      2    112      2        0  
000 20260611 14 10130   10145    240      239      99    128      1    126      2        0  
000 20260611 15 10129   10144    236      235      99    360      1    360      1        0  
000 20260611 16 10126   10142    234      233      99    360      1    114      1        0  
000 20260611 17 10121   10136    232      231      99    360      1    131      1        0  
000 20260611 18 10115   10131    231      230      99    133      1    360      1        0  
000 20260611 19 10110   10125    230      229      99    096      1    360      1        0  
000 20260611 20 10114   10129    228      227      99    360      0    160      1        0  
000 20260611 21 10115   10131    227      226      99    038      3    098      2        0  
000 20260611 22 10122   10137    227      226      99    149      2    146      2        0  
000 20260611 23 10130   10145    237      236      99    136      4    127      3        0  
000 20260612 00 10135   10150    260      259      99    135      2    138      3        0  
000 20260612 01 10134   10149    287      270      91    130      3    150      3        0  
000 20260612 02 10132   10147    289      267      88    014      2    102      2        0  
000 20260612 03 10127   10142    295      263      83    253      3    295      3        0  
000 20260612 04 10123   10138    271      261      94    116      6    137      7       31  
000 20260612 05 10110   10125    270      268      99    156      3    142      3        5  
000 20260612 06 10102   10117    288      276      93    144      3    191      3        0  
000 20260612 07 10100   10115    287      276      94    321      4    340      4        0  
000 20260612 08 10103   10118    264      263      99    280      1    344      4       33  
000 20260612 09 10105   10120    258      257      99    153      1    256      3       10  
000 20260612 10 10111   10127    256      255      99    360      0    360      1        3  
000 20260612 11 10121   10136    253      253      99    360      0    360      0        0  
000 20260612 12 10128   10143    249      248      99    104      1    360      1        0  
000 20260612 13 10135   10150    248      247      99    058      3    088      2        1  
000 20260612 14 10134   10149    246      245      99    108      3    109      2        0  
000 20260612 15 10132   10147    245      244      99    105      4    105      2        0  
000 20260612 16 10126   10141    247      246      99    106      2    102      3        0  
000 20260612 17 10119   10134    243      242      99    127      2    113      2        0  
000 20260612 18 10115   10130    242      241      99    072      4    086      3        0  
000 20260612 19 10112   10127    243      242      99    280      1    169      2        9  
000 20260612 20 10113   10128    244      243      99    360      1    025      1        5  
000 20260612 21 10114   10129    243      242      99    031      1    360      1        9  
000 20260612 22 10117   10132    241      240      99    349      1    049      1        1  
000 20260612 23 10122   10138    242      241      99    360      1    060      1        0  
000 20260613 00 10129   10144    254      253      99    360      0    360      1        0  
000 20260613 01 10130   10145    280      273      96    111      2    058      1        0  
000 20260613 02 10127   10142    297      265      83    110      8    116      7        0  
000 20260613 03 10119   10134    308      262      77    150      8    122      8        0  
000 20260613 04 10112   10126    311      260      74    132      7    145      7        0  
000 20260613 05 10100   10115    311      258      74    092      9    116      8        0  
000 20260613 06 10091   10105    318      262      72    147      5    146      6        0  
000 20260613 07 10086   10101    326      253      66    150      6    133      7        0  
000 20260613 08 10084   10099    306      265      79    302      6    268      5        0  
000 20260613 09 10089   10104    297      271      86    282      5    290      6        0  
000 20260613 10 10097   10112    253      252      99    360      1    058      5       13  
000 20260613 11 10102   10117    246      245     100    124      7    136      3        0  
000 20260613 12 10109   10124    250      250     100    114      3    100      3        0  
000 20260613 13 10112   10127    252      251     100    049      2    077      2        0  
000 20260613 14 10118   10133    244      243     100    042      1    041      2        0  
000 20260613 15 10118   10133    242      241     100    016      1    355      1        0  
000 20260613 16 10116   10131    239      238      99    319      1    206      1        0  
000 20260613 17 10114   10129    241      240      99    360      1    097      2        0  
000 20260613 18 10107   10122    239      239      99    091      1    360      1        0  
000 20260613 19 10105   10120    236      235      99    360      1    360      1        0  
000 20260613 20 10102   10118    235      234      99    097      2    150      1        0  
000 20260613 21 10105   10121    236      236      99    103      2    107      2        0  
000 20260613 22 10105   10120    234      233      99    100      3    096      3        0  
000 20260613 23 10113   10128    245      244      99    114      3    113      3        0  
000 20260614 00 10120   10135    266      262      98    081      3    057      2        0  
000 20260614 01 10123   10138    287      254      82    135      5    114      4        0  
000 20260614 02 10121   10136    300      252      75    091      7    103      7        0  
000 20260614 03 10113   10127    308      250      71    119      5    101      6        0  
000 20260614 04 10102   10117    306      245      70    111      5    122      6        0  
000 20260614 05 10092   10107    315      248      68    086      6    101      5        0  
000 20260614 06 10083   10098    319      249      67    154      2    127      4        0  
000 20260614 07 10079   10094    309      257      74    281      4    282      5        0  
000 20260614 08 10079   10094    309      253      72    085      3    158      3        0  
000 20260614 09 10082   10097    287      249      80    053      3    062      2        0  
000 20260614 10 10087   10102    279      262      91    360      0    356      2        0  
000 20260614 11 10094   10109    264      264     100    120      2    119      1        0  
000 20260614 12 10099   10114    264      263     100    084      2    112      3        0  
000 20260614 13 10104   10119    260      259     100    135      2    101      3        0  
000 20260614 14 10107   10122    258      256      99    115      3    120      3        0  
000 20260614 15 10106   10121    248      248     100    124      4    125      5        0  
000 20260614 16 10104   10119    245      244     100    038      2    107      3        0  
000 20260614 17 10101   10116    242      241     100    145      4    129      3        0  
000 20260614 18 10095   10111    240      239     100    067      3    110      3        0  
000 20260614 19 10093   10109    239      238     100    108      3    113      2        0  
000 20260614 20 10092   10107    240      239     100    121      4    117      3        0  
000 20260614 21 10094   10110    242      242     100    108      3    120      3        0  
000 20260614 22 10101   10116    238      238     100    041      2    070      2        0  
000 20260614 23 10106   10122    238      237     100    360      1    065      2        0  
000 20260615 00 10115   10130    249      248     100    111      1    085      2        0  
000 20260615 01 10117   10132    260      251      95    101      3    112      3        0  
000 20260615 02 10115   10130    267      242      86    360      1    062      2        0  
000 20260615 03 10112   10127    275      243      83    ///    ///    003      2        3  
000 20260615 04 10106   10121    265      213      72    111      2    051      1        0  
000 20260615 05 10100   10115    273      225      75    035      4    077      4        0  
000 20260615 06 10092   10107    263      226      80    018      4    046      5        0  
