Hourly Report for WAWP
STN YYYYMMDD GG QFE36   QFF36   TEMP36   DEWP36   RH36   WD36   WS36   WD36   WS36   RA36   
xxx                                                       10     10     60     60           
                hPa     hPa     degC     degC     %      deg    kt     deg    kt     mm     
000 20260301 00 10059   10074    298      248      75    297      6    307      5        0  
000 20260301 01 10061   10076    305      247      71    303      5    304      5        0  
000 20260301 02 10061   10076    306      251      73    329      4    312      4        0  
000 20260301 03 10056   10071    309      250      71    314      4    321      4        0  
000 20260301 04 10050   10065    313      248      68    302      4    313      4        0  
000 20260301 05 10044   10059    314      246      67    306      4    301      4        0  
000 20260301 06 10035   10050    316      245      66    298      3    307      4        0  
000 20260301 07 10028   10043    310      243      67    305      2    320      2        0  
000 20260301 08 10028   10043    306      241      68    294      2    305      2        0  
000 20260301 09 10034   10049    308      242      68    002      3    332      2        0  
000 20260301 10 10038   10053    301      243      71    339      2    331      2        0  
000 20260301 11 10045   10060    283      248      81    088      1    015      2        0  
000 20260301 12 10053   10068    267      251      91    005      1    008      1        0  
000 20260301 13 10059   10073    296      248      76    304      3    317      4        0  
000 20260301 14 10063   10078    298      256      78    312      6    317      5        0  
000 20260301 15 10065   10079    296      258      80    310      4    312      5        0  
000 20260301 16 10060   10075    293      254      80    296      3    304      4        0  
000 20260301 17 10054   10069    288      258      84    281      3    290      3        0  
000 20260301 18 10051   10066    286      255      83    280      6    282      5        0  
000 20260301 19 10044   10059    286      245      79    294      6    290      6        0  
000 20260301 20 10043   10058    283      244      80    293      5    301      4        0  
000 20260301 21 10043   10058    282      246      81    285      5    287      5        0  
000 20260301 22 10049   10064    281      254      86    295      6    290      6        0  
000 20260301 23 10054   10069    283      256      85    295      6    298      6        0  
000 20260302 00 10060   10075    294      255      80    297      6    289      6        0  
000 20260302 01 10061   10076    301      261      79    308      6    301      6        0  
000 20260302 02 10059   10074    308      262      77    307      5    309      5        0  
000 20260302 03 10055   10070    309      261      76    323      5    316      5        0  
000 20260302 04 10049   10064    307      259      76    322      4    309      5        0  
000 20260302 05 10042   10056    312      259      74    340      3    326      4        0  
000 20260302 06 10037   10052    316      256      70    281      3    292      3        0  
000 20260302 07 10032   10047    318      250      67    311      2    305      3        0  
000 20260302 08 10032   10046    313      247      68    261      3    282      3        0  
000 20260302 09 10034   10049    306      248      71    226      2    247      2        0  
000 20260302 10 10040   10055    296      254      78    205      3    216      3        0  
000 20260302 11 10045   10060    284      257      85    213      4    208      4        0  
000 20260302 12 10055   10070    274      257      91    071      1    117      2        0  
000 20260302 13 10060   10075    263      254      95    360      1    093      1        0  
000 20260302 14 10062   10078    255      251      98    148      1    145      2        0  
000 20260302 15 10063   10078    254      251      99    360      1    120      1        0  
000 20260302 16 10060   10075    288      250      81    316      7    305      6        0  
000 20260302 17 10058   10073    292      243      75    298      7    309      7        0  
000 20260302 18 10054   10069    290      239      74    302      6    299      6        0  
000 20260302 19 10052   10067    286      244      78    291      5    296      5        0  
000 20260302 20 10053   10068    285      244      78    294      6    297      5        0  
000 20260302 21 10053   10068    284      244      79    296      5    293      5        0  
000 20260302 22 10054   10069    283      245      80    287      5    287      5        0  
000 20260302 23 10062   10077    287      244      78    291      7    293      6        0  
000 20260303 00 10069   10084    292      249      78    290      7    292      6        0  
000 20260303 01 10074   10089    300      251      75    297      6    294      7        0  
000 20260303 02 10072   10087    305      257      76    298      6    298      6        0  
000 20260303 03 10070   10085    314      259      73    304      5    303      6        0  
000 20260303 04 10061   10076    314      255      71    308      5    306      5        0  
000 20260303 05 10053   10068    312      261      75    306      5    305      6        0  
000 20260303 06 10045   10060    315      268      76    325      4    319      5        0  
000 20260303 07 10038   10053    319      265      74    307      6    311      5        0  
000 20260303 08 10036   10051    322      263      71    310      5    310      6        0  
000 20260303 09 10038   10053    313      265      75    274      5    290      5        0  
000 20260303 10 10045   10060    300      262      80    280      2    258      2        0  
000 20260303 11 10049   10064    286      263      88    295      2    285      1        0  
000 20260303 12 10058   10073    298      257      79    322      5    319      5        0  
000 20260303 13 10062   10077    298      259      80    314      4    318      4        0  
000 20260303 14 10064   10079    297      252      77    295      6    302      5        0  
000 20260303 15 10070   10085    296      247      75    300      4    301      5        0  
000 20260303 16 10066   10080    292      247      77    290      5    298      4        0  
000 20260303 17 10063   10078    290      248      78    303      4    298      4        0  
000 20260303 18 10059   10074    291      248      78    296      7    300      5        0  
000 20260303 19 10058   10072    290      248      78    295      7    295      7        0  
000 20260303 20 10058   10073    287      249      80    298      5    294      6        0  
000 20260303 21 10057   10072    286      247      80    299      4    293      5        0  
000 20260303 22 10056   10071    283      249      82    308      4    305      4        0  
000 20260303 23 10061   10076    285      250      81    311      3    310      3        0  
000 20260304 00 10068   10083    291      253      80    295      4    299      4        0  
000 20260304 01 10073   10088    294      257      80    290      5    292      5        0  
000 20260304 02 10070   10085    300      250      75    282      6    281      5        0  
000 20260304 03 10061   10076    303      239      68    286      4    284      6        0  
000 20260304 04 10052   10067    307      241      68    310      6    297      6        0  
000 20260304 05 10042   10057    310      241      67    276      6    290      6        0  
000 20260304 06 10038   10052    314      237      64    286      6    287      6        0  
000 20260304 07 10035   10050    309      246      69    310      5    303      5        0  
000 20260304 08 10032   10047    312      253      71    304      5    318      4        0  
000 20260304 09 10035   10050    310      259      75    308      4    299      4        0  
000 20260304 10 10040   10055    300      255      77    316      4    317      4        0  
000 20260304 11 10044   10059    298      245      74    287      9    297      7        0  
000 20260304 12 10054   10069    296      223      65    296      6    292      8        0  
000 20260304 13 10062   10077    291      225      68    298      6    295      7        0  
000 20260304 14 10065   10080    289      230      71    311      6    300      6        0  
000 20260304 15 10065   10080    286      242      77    297      7    301      6        0  
000 20260304 16 10065   10080    285      241      77    304      6    297      6        0  
000 20260304 17 10057   10072    284      243      78    336      5    316      4        0  
000 20260304 18 10051   10066    284      239      76    316      5    321      5        0  
000 20260304 19 10045   10060    282      239      78    304      4    304      4        0  
000 20260304 20 10044   10058    280      240      79    300      4    303      4        0  
000 20260304 21 10052   10067    280      238      78    286      3    300      3        0  
000 20260304 22 10060   10075    282      240      78    290      5    292      4        0  
000 20260304 23 10064   10079    282      244      80    292      4    297      4        0  
000 20260305 00 10064   10079    288      250      80    306      3    299      4        0  
000 20260305 01 10065   10080    297      255      78    034      5    341      4        0  
000 20260305 02 10062   10077    306      254      74    005      6    005      5        0  
000 20260305 03 10056   10071    308      249      71    354      5    358      5        0  
000 20260305 04 10051   10065    314      246      67    305      4    318      4        0  
000 20260305 05 10047   10062    309      246      69    306      4    304      4        0  
000 20260305 06 10040   10055    308      246      69    341      3    313      4        0  
000 20260305 07 10029   10044    311      246      68    324      2    327      3        0  
000 20260305 08 10027   10041    313      245      67    339      3    338      3        0  
000 20260305 09 10029   10044    315      241      65    014      5    005      4        0  
000 20260305 10 10034   10049    304      241      69    040      3    021      3        0  
000 20260305 11 10043   10058    288      243      77    040      2    039      3        0  
000 20260305 12 10050   10065    279      243      81    040      2    039      2        0  
000 20260305 13 10057   10072    266      246      89    062      1    092      1        0  
000 20260305 14 10062   10077    256      245      93    100      1    360      1        0  
000 20260305 15 10061   10077    254      245      95    154      1    114      1        0  
000 20260305 16 10055   10070    252      243      95    142      1    110      1        0  
000 20260305 17 10051   10066    250      241      95    131      1    125      1        0  
000 20260305 18 10044   10059    246      240      97    360      1    360      1        0  
000 20260305 19 10039   10054    242      239      98    155      1    141      1        0  
000 20260305 20 10037   10053    240      237      98    134      2    141      1        0  
000 20260305 21 10039   10054    239      235      97    116      2    138      1        0  
000 20260305 22 10042   10057    239      234      97    169      1    144      2        0  
000 20260305 23 10050   10065    245      237      95    139      2    139      2        0  
000 20260306 00 10054   10069    282      249      82    147      2    145      2        0  
000 20260306 01 10051   10066    307      251      72    287      4    168      2        0  
000 20260306 02 10051   10066    303      252      75    262      4    286      4        0  
000 20260306 03 10045   10060    310      256      73    244      5    264      4        0  
000 20260306 04 10040   10055    313      259      73    261      6    258      6        0  
000 20260306 05 10030   10044    316      263      74    250      6    258      7        0  
000 20260306 06 10022   10036    320      256      69    239      6    242      7        0  
000 20260306 07 10020   10035    325      239      61    228      7    227      6        0  
000 20260306 08 10020   10035    324      238      61    219      8    225      7        0  
000 20260306 09 10026   10041    312      242      66    209      8    214      7        0  
000 20260306 10 10029   10044    303      238      68    204      7    203      7        0  
000 20260306 11 10036   10051    290      240      75    178      4    195      5        0  
000 20260306 12 10049   10064    269      244      86    084      3    131      2        0  
000 20260306 13 10059   10074    262      244      90    161      2    143      2        0  
000 20260306 14 10061   10076    262      247      91    118      3    119      2        0  
000 20260306 15 10059   10074    259      247      93    206      2    151      2        0  
000 20260306 16 10058   10073    256      247      95    064      2    066      2        0  
000 20260306 17 10052   10067    257      246      93    110      2    106      2        0  
000 20260306 18 10048   10064    253      244      95    135      1    138      1        0  
000 20260306 19 10046   10061    254      244      95    042      5    063      2        0  
000 20260306 20 10048   10063    257      240      91    068      5    055      4        0  
000 20260306 21 10047   10062    255      237      90    051      4    083      3        0  
000 20260306 22 10050   10065    256      236      89    050      4    038      4        0  
000 20260306 23 10056   10071    252      239      93    065      2    075      3        0  
000 20260307 00 10067   10082    263      242      88    106      2    088      2        0  
000 20260307 01 10070   10085    282      250      83    036      1    084      2        0  
000 20260307 02 10071   10086    299      249      75    322      3    332      2        0  
000 20260307 03 10067   10082    312      247      68    320      3    326      3        0  
000 20260307 04 10072   10087    263      239      88    318      8    321      7      102  
000 20260307 05 10054   10070    254      243      94    059      4    004      4        2  
000 20260307 06 10047   10062    266      247      89    058      3    058      4        1  
000 20260307 07 10045   10060    268      248      89    060      3    047      4        0  
000 20260307 08 10042   10057    266      251      92    064      3    052      3        1  
000 20260307 09 10045   10060    267      251      91    075      3    104      2        0  
000 20260307 10 10055   10070    266      251      92    089      3    088      2        0  
000 20260307 11 10066   10081    258      248      94    082      3    085      3        0  
000 20260307 12 10074   10089    253      246      96    094      1    104      1        0  
000 20260307 13 10080   10095    250      243      96    178      3    145      2        0  
000 20260307 14 10088   10103    248      244      98    149      2    165      3        0  
000 20260307 15 10085   10100    249      242      95    144      3    128      3        0  
000 20260307 16 10081   10096    248      243      97    180      4    160      3        0  
000 20260307 17 10072   10087    250      241      95    171      3    171      4        0  
000 20260307 18 10067   10082    243      240      98    071      5    091      3        0  
000 20260307 19 10064   10079    243      242      99    100      3    081      3        0  
000 20260307 20 10063   10079    243      242      99    098      3    093      3        0  
000 20260307 21 10062   10077    243      239      98    094      1    079      2        0  
000 20260307 22 10067   10083    240      237      98    360      1    146      1        0  
000 20260307 23 10074   10089    250      241      95    118      3    110      2        0  
000 20260308 00 10079   10094    283      254      84    090      3    113      2        0  
000 20260308 01 10081   10096    301      253      76    314      2    333      2        0  
000 20260308 02 10080   10095    305      253      74    292      3    272      3        0  
000 20260308 03 10080   10095    306      257      75    262      4    272      4        0  
000 20260308 04 10075   10090    306      255      74    259      7    263      5        0  
000 20260308 05 10062   10077    305      246      71    255      6    260      6        0  
000 20260308 06 10052   10067    305      246      71    257      6    262      6        0  
000 20260308 07 10049   10063    305      246      71    256      6    258      6        0  
000 20260308 08 10046   10060    297      243      73    263      4    257      4        0  
000 20260308 09 10056   10071    294      243      74    251      4    256      4        0  
000 20260308 10 10065   10080    288      243      77    227      4    245      4        0  
000 20260308 11 10069   10084    279      247      83    360      0    210      2        0  
000 20260308 12 10073   10088    264      252      93    316      2    360      1        0  
000 20260308 13 10078   10093    276      253      88    321      3    303      2        0  
000 20260308 14 10083   10098    280      250      84    319      4    318      4        0  
000 20260308 15 10084   10099    282      250      83    299      7    308      5        0  
000 20260308 16 10079   10094    282      244      80    298      8    297      8        0  
000 20260308 17 10075   10090    281      238      78    291      7    296      7        0  
000 20260308 18 10070   10085    279      237      78    304      8    300      8        0  
000 20260308 19 10069   10084    276      239      80    303      8    300      7        0  
000 20260308 20 10072   10087    276      241      81    296      9    298      9        0  
000 20260308 21 10076   10091    277      241      81    298      8    297      8        0  
000 20260308 22 10080   10095    277      236      78    282      8    285      8        0  
000 20260308 23 10087   10102    280      239      78    283      8    284      8        0  
000 20260309 00 10092   10107    289      241      76    291      8    288      8        0  
000 20260309 01 10093   10108    298      240      71    291      8    295      7        0  
000 20260309 02 10094   10109    301      237      68    290      8    291      8        0  
000 20260309 03 10087   10102    304      239      69    286      8    285      8        0  
000 20260309 04 10079   10094    307      240      68    280      8    283      8        0  
000 20260309 05 10072   10087    305      241      68    285      6    284      7        0  
000 20260309 06 10068   10083    304      238      68    289      7    288      6        0  
000 20260309 07 10064   10079    302      241      70    281      6    285      6        0  
000 20260309 08 10059   10074    304      243      70    280      5    281      6        0  
000 20260309 09 10064   10079    287      243      78    282      9    279      8        0  
000 20260309 10 10068   10083    278      238      79    265      5    281      6        0  
000 20260309 11 10074   10089    279      242      80    316      4    297      5        0  
000 20260309 12 10079   10094    275      251      87    309      4    312      4        0  
000 20260309 13 10083   10098    274      247      85    318      4    314      4        0  
000 20260309 14 10083   10098    279      239      79    297      7    311      5        0  
000 20260309 15 10084   10099    283      233      75    298      6    296      7        0  
000 20260309 16 10076   10091    280      237      77    301      6    300      6        0  
000 20260309 17 10073   10088    281      238      78    296      8    297      6        0  
000 20260309 18 10071   10086    281      238      78    296      8    297      7        0  
000 20260309 19 10072   10087    282      238      77    286      8    289      8        0  
000 20260309 20 10073   10088    283      239      77    287      6    286      7        0  
000 20260309 21 10075   10090    283      242      78    291      8    289      8        0  
000 20260309 22 10074   10089    283      243      79    286      6    287      8        0  
000 20260309 23 10082   10097    285      243      78    281      8    283      7        0  
000 20260310 00 10087   10102    295      242      73    277     10    280      9        0  
000 20260310 01 10088   10103    304      240      69    280      9    279      9        0  
000 20260310 02 10084   10099   ////     ////     ///    ///    ///    ///    ///        0  
000 20260310 03 10081   10096    313      244      67    278      9    279      9        0  
000 20260310 04 10076   10091    314      244      66    287      8    283      8        0  
000 20260310 05 10068   10083    314      250      69    280      9    279      8        0  
000 20260310 06 10059   10074    316      248      68    279      7    278      8        0  
000 20260310 07 10056   10071    315      248      68    283      6    285      7        0  
000 20260310 08 10052   10067    306      251      72    287      8    287      7        0  
000 20260310 09 10056   10071    294      249      77    301      5    290      7        0  
000 20260310 10 10061   10076    289      242      76    290      4    300      4        0  
000 20260310 11 10067   10082    282      249      83    309      2    302      3        0  
000 20260310 12 10072   10087    283      248      81    343      4    340      4        0  
000 20260310 13 10074   10089    288      250      80    316      5    324      5        0  
000 20260310 14 10075   10090    291      249      78    294      9    295      7        0  
000 20260310 15 10074   10089    287      253      82    296      8    298      8        0  
000 20260310 16 10069   10084    284      254      84    303      7    300      7        0  
000 20260310 17 10066   10081    282      253      84    301      7    304      7        0  
000 20260310 18 10060   10075    282      247      81    295      9    296      8        0  
000 20260310 19 10058   10073    287      241      77    298      9    295      9        0  
000 20260310 20 10056   10071    288      240      76    290     10    294     10        0  
000 20260310 21 10061   10076    287      239      75    292     10    289      9        0  
000 20260310 22 10064   10079    285      242      78    301      7    296      9        0  
000 20260310 23 10070   10085    284      245      80    292      8    296      8        0  
000 20260311 00 10075   10090    291      244      76    286      9    290      8        0  
000 20260311 01 10078   10093    295      249      76    291      7    293      9        0  
000 20260311 02 10076   10091    303      249      73    297      9    294      8        0  
000 20260311 03 10071   10086    309      253      72    292     10    294      9        0  
000 20260311 04 10063   10078    310      257      73    304      7    298      8        0  
000 20260311 05 10052   10067    310      258      74    305      6    305      7        0  
000 20260311 06 10045   10060    316      251      69    282      9    285      8        0  
000 20260311 07 10042   10057    318      248      66    267      9    279      8        0  
000 20260311 08 10041   10056    314      249      69    255      7    263      7        0  
000 20260311 09 10042   10057    300      250      75    222      6    235      6        0  
000 20260311 10 10049   10064    292      249      78    216      5    218      6        0  
000 20260311 11 10057   10072    291      244      76    248      6    239      6        0  
000 20260311 12 10063   10078    290      247      78    253      7    251      6        0  
000 20260311 13 10070   10085    290      243      76    283      8    270      7        0  
000 20260311 14 10072   10087    287      244      77    305      5    293      7        0  
000 20260311 15 10071   10086    285      245      79    300      7    302      7        0  
000 20260311 16 10068   10083    282      249      82    297      9    297      8        0  
000 20260311 17 10060   10074    281      249      83    292     10    296      9        0  
000 20260311 18 10052   10067    282      248      82    290      9    291      9        0  
000 20260311 19 10050   10065    283      243      79    291      9    290     10        0  
000 20260311 20 10048   10063    284      242      78    286     10    288     10        0  
000 20260311 21 10054   10069    283      240      77    287     10    288     10        0  
000 20260311 22 10057   10072    283      241      78    289      9    292      9        0  
000 20260311 23 10066   10080    284      242      78    291      9    289     10        0  
000 20260312 00 10072   10087    287      239      76    293      9    292      9        0  
000 20260312 01 10076   10091    292      242      75    283      9    288      9        0  
000 20260312 02 10073   10088    299      239      70    286      9    283      9        0  
000 20260312 03 10067   10082    309      242      68    291     10    286     10        0  
000 20260312 04 10058   10073    313      247      68    274     10    281     10        0  
000 20260312 05 10050   10065    316      244      65    280     10    278     10        0  
000 20260312 06 10042   10057    309      240      67    281      9    282      9        0  
000 20260312 07 10042   10057    316      245      66    274      9    275      9        0  
000 20260312 08 10046   10061    297      246      74    243     11    257     10        0  
000 20260312 09 10043   10058    285      239      76    263      8    241      8        0  
000 20260312 10 10053   10068    285      242      78    256     10    256     11        0  
000 20260312 11 10058   10073    279      238      79    276      8    266     10        0  
000 20260312 12 10068   10083    276      237      79    285      7    284      8        0  
000 20260312 13 10072   10087    275      241      82    307      6    295      6        0  
000 20260312 14 10075   10090    277      242      81    301      6    308      6        0  
000 20260312 15 10072   10087    278      242      81    315      5    301      6        0  
000 20260312 16 10066   10081    278      240      80    302      5    306      6        0  
000 20260312 17 10061   10076    278      240      80    296      6    297      5        0  
000 20260312 18 10054   10069    279      240      79    287      6    295      6        0  
000 20260312 19 10051   10066    278      244      82    287      6    284      6        0  
000 20260312 20 10053   10068    280      243      80    292      8    289      7        0  
000 20260312 21 10054   10069    281      241      79    292      7    293      7        0  
000 20260312 22 10060   10075    280      241      80    282      7    286      7        0  
000 20260312 23 10068   10083    283      240      78    285      9    284      8        0  
000 20260313 00 10074   10089    290      244      77    287      8    286      8        0  
000 20260313 01 10079   10094    300      246      73    288      8    287      8        0  
000 20260313 02 10080   10095    294      247      76    285      6    289      7        0  
000 20260313 03 10072   10087    306      250      72    275      7    282      7        0  
000 20260313 04 10066   10081    310      251      71    280      6    266      6        0  
000 20260313 05 10058   10073    310      250      70    270      4    280      5        0  
000 20260313 06 10049   10064    306      249      72    285      5    276      4        0  
000 20260313 07 10042   10056    302      246      72    281      6    273      5        0  
000 20260313 08 10041   10056    302      240      70    275      8    274      8        0  
000 20260313 09 10044   10059    297      238      71    263      6    269      6        0  
000 20260313 10 10052   10067    293      241      74    279      8    275      7        0  
000 20260313 11 10061   10076    293      234      71    272      7    273      8        0  
000 20260313 12 10069   10084    290      240      75    302      3    287      5        0  
000 20260313 13 10076   10091    286      245      78    012      2    328      2        0  
000 20260313 14 10082   10097    258      245      92    093      1    112      1        0  
000 20260313 15 10082   10097    250      243      96    360      1    114      1        0  
000 20260313 16 10075   10090    255      239      92    306      5    008      2        0  
000 20260313 17 10071   10086    287      225      69    308      6    313      5        0  
000 20260313 18 10065   10080    284      224      70    301      4    298      5        0  
000 20260313 19 10062   10077    281      231      74    322      3    311      3        0  
000 20260313 20 10061   10076    279      241      80    298      4    303      4        0  
000 20260313 21 10064   10079    281      239      78    288      6    286      6        0  
000 20260313 22 10071   10086    280      241      79    295      4    291      5        0  
000 20260313 23 10081   10096    281      241      79    304      4    298      5        0  
000 20260314 00 10088   10103    292      242      75    318      5    320      4        0  
000 20260314 01 10094   10109    303      246      72    306      5    309      5        0  
000 20260314 02 10092   10107    308      245      69    306      3    308      5        0  
000 20260314 03 10089   10104    309      245      69    316      3    306      4        0  
000 20260314 04 10080   10095    309      249      70    296      3    316      4        0  
000 20260314 05 10070   10085    313      245      67    306      4    315      4        0  
000 20260314 06 10061   10076    314      239      65    337      3    308      4        0  
000 20260314 07 10053   10068    320      232      60    313      3    305      3        0  
000 20260314 08 10052   10066    321      230      59    315      2    331      3        0  
000 20260314 09 10053   10068    318      233      61    333      2    330      3        0  
000 20260314 10 10065   10080    307      239      67    271      2    281      2        0  
000 20260314 11 10072   10087    284      248      81    188      1    201      1        0  
000 20260314 12 10082   10098    268      252      91    158      2    158      2        0  
000 20260314 13 10092   10107    262      251      94    165      3    157      3        0  
000 20260314 14 10094   10109    261      248      93    126      4    144      3        0  
000 20260314 15 10091   10106    262      243      89    122      3    138      3        0  
000 20260314 16 10083   10099    264      242      88    163      3    149      3        0  
000 20260314 17 10076   10091    261      244      90    124      1    137      2        0  
000 20260314 18 10072   10088    255      245      94    132      1    143      1        0  
000 20260314 19 10072   10087    248      241      96    035      3    078      2        0  
000 20260314 20 10072   10087    257      246      94    079      3    059      4        0  
000 20260314 21 10077   10092    255      243      93    067      4    062      4        0  
000 20260314 22 10082   10097    256      243      93    063      4    048      3        0  
000 20260314 23 10090   10105    251      242      95    104      3    094      4        0  
000 20260315 00 10096   10111    257      241      91    092      1    073      2        0  
000 20260315 01 10101   10116    278      246      83    049      2    046      2        0  
000 20260315 02 10101   10116    295      244      75    033      3    041      3        0  
000 20260315 03 10095   10109    311      245      68    323      5    026      3        0  
000 20260315 04 10086   10101    309      246      69    327      4    323      4        0  
